auto_tpt	both_tpt	self_tpt	auto_beacon	both_beacon	self_beacon	auto_d'	both_d'	self_d'
0.52	0.63125	0.213958333	40	66	78	3.47	5.42	0.33
0.08	0.042616034	0.07904	122	108	87	0.64	0.25	1.58
0.36	0.226818182	0.232093023	41	52	88	3.58	0.93	0.47
0.24	0.319375	0.411111111	56	44	42	1.8	1.88	3.5
0.38	0.36875	0.329411765	40	36	36	3.1	1.88	0.71
0.4	0.710638298	0.68	36	24	32	5.28	9.88	1.89
0.46	1.939215686	9.55	50	20	12	6.36	7.82	0
0.02	0.039409091	0.027462366	180	166	286	-0.11	0.26	2.02
0.37	0.478095238	0.668666667	63	30	22	1.39	1.83	-0.54
0.09	0.106746988	0.090384615	120	22	44	-1.52	-0.63	0.32
0.06	0.204444444	0.03673913	79	26	396	-0.09	-0.09	0.11
0.16	0.056424581	0.083609272	82	116	100	-0.69	-0.61	0.96
0.31	0.404	0.307647059	31	46	16	1.02	0.81	-0.6
0.4	0.081716418	0.037851852	54	96	104	3.5	0.36	0.74
0.06	0.029702381	0.244090909	94	268	58	-0.22	-0.12	-0.093
0.03	0.049206349	0.078372093	300	292	72	0.03	-0.45	-0.33
0.08	0.044297521	0.013638778	133	44	508	-1.05	-0.77	-0.3
0.05	0.059248555	0.025974026	22	179	256	-0.33	-0.21	-0.14
0.16	0.144444444	0.05872093	54	83	112	-1.11	-0.45	-0.2
0.06	0.871818182	0.049728507	160	12	160	-0.33	1.12	0.07
0.39	0.658385093	0.164754098	47	26	62	-0.31	10.15	-0.83
0.085	0.62625	0.064540816	106	24	252	0	2.93	4.39
1.4	1.259259259	1.024	44	34	16	3.59	8.76	1.93
0.43	0.271351351	0.346206897	66	38	50	11.04	2.27	5.13
0.55	0.635625	0.719285714	46	32	22	10.39	5.42	2.77
0.72	0.506930693	1.014	116	18	28	0	9.21	3.58
0.23	0.385384615	0.478095238	46	44	32	1.46	2.41	2.2
0.47	0.081300813	0.5105	34	80	46	2.45	-0.36	0.97
0.38	0.055568182	0.246666667	22	129	33	3.59	0.55	-0.24
0.63	0.133157895	0.058882353	38	90	120	2.2	1.31	-0.18
0.23	0.52	0.135135135	116	20	80	0.61	2.77	0.08
0.026	0.15	0.109591837	174	42	84	-0.38	0.63	3.89
0.047	0.162923077	0.76625	149	54	32	-0.67	1.34	-0.17
0.17	0.123506494	0.092608696	94	100	44	-1.67	0.68	0.33
0.25	0.135735294	0.092201835	72	60	0	1.87	0.71	1.74
0.48	0.149428571	0.152622951	36	148	551	4.7	1.84	0.07
0.08	0.503	0.095	766	77	74	0.3	2.77	0.24
0.34	0.017417219	0.128352941	303	388	104	0.81	-0.52	1.27
0.22	0.184814815	0.210612245	68	84	66	1.98	3.81	-0.33
0.16	0.037056075	0.018178862	72	104	124	0.52	-0.14	3.89
0.5	0.048146341	0.104375	44	142	416	2.2	1.75	-0.2
0.18	0.301176471	0.04548951	442	48	104	-0.36	1.72	0.64
0.092	0.213404255	0.082605042	308	100	162	5.09	-0.14	0.69
0.13	0.030885246	0.118404255	28	140	146	0.4	0.06	0.9
0.05	0.072357143	0.140416667	280	139	110	0.16	2.47	-0.04
0.5	0.111372549	0.020215054	36	280	98	1.58	0.46	0.15
0.27	0.029770115	0.063148148	42	636	226	1.3	2.37	2.56
0.39	0.112553191	0.085483871	250	134	132	0.81	3.58	0.17
0.19	0.335	0.022803181	139	16	210	0.14	5.02	1.39
0.39	0.124	0.096666667	278	128	588	4.15	4.35	-0.17
0.29	0.102244898	0.108541667	312	62	102	2.5	8.99	4.39
0.17	0.716483516	0.116	228	32	18	0.65	0.12	0.03
0.49	0.02	0.035862069	58	368	72	4.8	5.7	1.39
0.18	0.145890411	0.341666667	128	114	100	5.05	0.7	-0.06
0.17	0.346206897	0.013963329	228	84	16	3.22	-0.81	2.56
0.08	0.1484	0.085483871	58	20	398	2.51	3.27	0.17
0.31	0.197142857	0.022803181	554	138	210	1.29	7.11	1.39
0.35	0.157777778	0.096491228	162	52	588	3.22	0.34	-0.45
0.22	0.050744681	0.115777778	145	56	102	-0.25	5.35	4.39
0.26	0.104516129	0.116	50	106	18	-3.76	1.01	0.03
0.19	0.06845679	0.035862069	108	150	72	6.44	5.13	1.39
0.11	0.146142857	0.341666667	154	360	100	-0.08	1.12	-0.06
0.39	0.061	0.013921016	136	150	16	6.44	1.78	-0.3
0.35	0.11627907	0.096296296	310	178	398	2.55	2.58	0.74
0.42	0.142432432	0.457727273	468	172	82	5.05	-0.63	-1.62
0.16	0.06487013	0.168076923	206	62	120	0.27	3.67	1.8
0.39	0.087709924	0.240222222	204	254	20	6.44	0.03	6.36
0.21	0.057520661	0.1936	32	60	80	2.2	2.68	0.8
