
Printing linked list
====================

list size=24426

1 f 5895
2 65535 5836
3 0 2142
4 n 487
5 obj 438
6 endobj 438
7 00000 426
8 r 356
9 500 160
10 subtype/link/rect 156
11 bs<</w 156
12 0>>/f 156
13 structparent 156
14 556 129
15 2 118
16 stream 118
17 endstream 118
18 722 110
19 filter/flatedecode/length 106
20 x 96
21 11 95
22 10 90
23 792 89
24 type/page/parent 87
25 r/gs11 87
26 r>>/procset[/pdf/text/imageb/imagec/imagei 87
27 mediabox 87
28 612 87
29 contents 87
30 r/group<</type/group/s/transparency/cs/devicergb>>/tabs/s/structparents 87
31 p 82
32 333 80
33 h 78
34 84 75
35 278 75
36 m 73
37 l 72
38 69 71
39 b 70
40 4/dest 70
41 r/xyz 70
42 w 69
43 o 68
44 q 68
45 z 66
46 d 66
47 s 66
48 u 66
49 y 66
50 k 64
51 g 63
52 e 63
53 v 62
54 r/f7 60
55 c 59
56 a 58
57 14 55
58 i 54
59 667 54
60 611 54
61 r>>/extgstate<</gs10 53
62 t 52
63 j 52
64 12 51
65 4 50
66 79 48
67 8 48
68 5 45
69 r/f2 45
70 16 45
71 1 44
72 3 44
73 r/f4 42
74 annots 42
75 7 41
76 r/resources<</font<</f3 39
77 r/f6 38
78 6 37
79 778 36
80 r/resources<</extgstate<</gs10 34
81 444 34
82 21 31
83 69.75 31
84 9 29
85 542.25 28
86 288 28
87 250 25
88 389 24
89 r/f12 22
90 32/italicangle 16
91 0/ascent 16
92 r>>/font<</f5 16
93 77 14
94 r/f3 14
95 720 14
96 674 14
97 833 14
98 34 13
99 r/f5 13
100 216 13
101 r>>/font<</f7 13
102 250/leading 12
103 2000 12
104 fontfile2 12
105 4/a<</type/action/s/uri/uri(https://www.paypal.com/uk/webapps/mpp/ua/privacywax-full?locale.x=en_gb 12
106 type/objstm/n 12
107 944 12
108 55 11
109 113 11
110 400.1 11
111 294 11
112 500/first 11
113 56 10
114 68 10
115 400/xheight 10
116 r/f1 10
117 222 10
118 r/f13 10
119 36 9
120 216/capheight 9
121 182 9
122 258 9
123 598 9
124 f"3ˆ™Älb&1˜‰@Ìd 9
125 31 8
126 49 8
127 r/tounicode 8
128 1000/cidsysteminfo 8
129 r/fontdescriptor 8
130 r/w 8
131 ordering(identity 8
132 registry(adobe 8
133 supplement 8
134 891/descent 8
135 42/stemv 8
136 r/firstchar 8
137 r/f8 8
138 148 8
139 889 8
140 61 7
141 32/lastchar 7
142 15 7
143 4/a<</type/action/s/uri/uri(https://www.paypal.com/uk/webapps/mpp/ua/legalhub-full?locale.x=en_gb 7
144 r/resources<</font<</f6 7
145 179 7
146 210 7
147 257 7
148 105.75 7
149 4/a<</type/action/s/uri/uri(https://www.paypal.com/uk/webapps/mpp/ua/buyer-protection?locale.x=en_gb 7
150 4/a<</type/action/s/uri/uri(https://www.paypal.com/uk/webapps/mpp/ua/provt-full?locale.x=en_gb 7
151 88 7
152 30 6
153 41 6
154 43 6
155 53 6
156 60 6
157 78 6
158 700/xheight 6
159 177 6
160 232 6
161 r/f10 6
162 4/a<</type/action/s/uri/uri(https://www.paypal.com/uk/webapps/mpp/ua/apm-tnc?locale.x=en_gb 6
