Pp	Recording	Total time	Beacon	Drones	TpD	Hit	FAF	FAR	d'
1	RA1	10.27	40	20	0.52	17	3	0	3.47
2	RY6A	10.03	122	127	0.08	135	83	15	0.64
3	R2A	10.1	41	28	0.36	24	2	2	3.58
4	R1A	10.62	56	45	0.24	32	9	4	1.8
5	R1A	10.57	40	28	0.38	23	3	2	3.1
6	R2A	10.08	36	25	0.4	18	4	3	1.89
7	0	11.44	50	25	0.46	24	1	0	6.36
8	RY2A	10.56	180	436	0.02	212	163	61	-0.11
9	R2A	10.02	63	27	0.37	18	3	6	1.39
10	R2A	6.62	120	69	0.09	22	40	7	-1.52
11	RY6A	10.22	79	174	0.06	85	67	22	-0.09
12	R2A	12.6	82	82	0.16	34	41	7	-0.69
13	R3A	10.1	31	32	0.31	20	7	5	1.02
14	R3A	10.9	54	27	0.4	27	1	3	3.5
15	R5A	11.31	94	199	0.06	94	87	18	-0.22
16	R3A	10.03	300	321	0.03	152	142	57	0.03
17	R3A	5.79	133	70	0.08	26	26	18	-1.05
18	R3A	2.33	22	48	0.05	22	26	0	-0.33
19	R4A	13.78	54	85	0.16	31	36	18	-1.11
20	R4A	11.13	160	192	0.06	88	80	24	-0.33
21	R4A	10.08	47	26	0.39	12	11	3	-0.31
22	R4A	7.66	106	90	0.085	45	31	14	0
23	R4A	9.79	44	7	1.4	6	1	0	3.59
24	RA4	10.8	66	25	0.43	25	0.001	0	20.25
25	RA4	9.98	46	18	0.55	18	0.001	0	18
26	RA4	10.1	116	14	0.72	7	2	5	0
27	RA4	10	46	43	0.23	29	11	3	1.46
28	RA5	10.38	34	22	0.47	17	3	2	2.45
29	RA5	5.22	22	14	0.38	12	2	0	3.59
30	RA5	10	38	16	0.63	12	3	1	2.2
31	RA5	8.9	116	40	0.23	23	14	3	0.61
32	RA5	6.3	174	243	0.026	110	110	23	-0.38
33	RA5	5.04	149	108	0.047	45	46	17	-0.67
34	RA5	7.35	94	43	0.17	13	28	2	-1.67
35	R6A	9.77	72	39	0.25	28	6	5	1.87
36	R6A	10.94	36	23	0.48	21	0	2	4.7
37	R6A	10.03	766	121	0.08	65	50	6	0.3
38	RY2A	10.29	303	30	0.34	18	12	0	0.81
39	R6A	10.44	68	48	0.22	35	13	0	1.98
40	R6A	9.85	72	62	0.16	35	21	6	0.52
41	R6A	10.06	44	20	0.5	15	3	2	2.2
42	R6A	10.8	442	609	0.18	277	271	61	-0.36
	RY1A	10.12	308	110	0.092	102	6	2	5.09
	RY1A	2.58	28	20	0.13	11	8	1	0.4
	RY1A	10.83	280	202	0.05	105	84	13	0.16
	R6A	15.97	36	32	0.5	22	8	22	1.58
	R2A	10.1	42	38	0.27	25	8	5	1.3
	RY2A	15.78	250	40	0.39	24	15	1	0.81
	RY2A	10.12	139	56	0.19	29	22	5	0.14
	RY2A	10.56	278	27	0.39	24	2	1	4.15
	RY2A	9.46	312	32	0.29	25	4	3	2.5
	RY2A	5.32	228	31	0.17	18	11	2	0.65
	RY2A	5.97	58	12	0.49	11	0	1	4.8
	RY2A	4.82	128	27	0.18	25	2	0	5.05
	RY2A	5.03	228	30	0.17	25	4	1	3.22
	RY3A	2.97	58	36	0.08	28	7	1	2.51
	RY3A	10.04	554	32	0.31	21	9	2	1.29
	RY3A	10.54	162	30	0.35	25	2	3	3.22
	RY3A	10.76	145	49	0.22	23	24	2	-0.25
	RY3A	17.57	50	68	0.26	9	10	49	-3.76
	RY3A	4.83	108	26	0.19	25	1	0	6.44
	RY3A	5.18	154	49	0.11	24	15	10	-0.08
	RY3A	10.23	136	26	0.39	25	0	1	6.44
	RY5A	11.3	310	32	0.35	25	4	3	2.55
	RY5A	11.2	468	27	0.42	25	1	1	5.05
	RY5A	7.19	206	45	0.16	24	17	4	0.27
	RY5A	10.05	204	26	0.39	25	0	1	6.44
	RY5A	5.01	32	24	0.21	18	3	3	2.2
	RY5A	5.18	24	17	0.31	14	1	2	3.1
	RY6A	10.03	80	30	0.33	25	5	0	3.22
	RY6A	0.69	12	37	0.02	15	22	0	-0.77
	RY6A	12.72	264	26	0.49	24	2	0	4.97
		6.94	225	40	0.174	27	6	7	1.46
